SEMANA,FECHA,TURNO,EXTRUSORA,OPERADOR,N° DE PEDIDO,NOMBRE DE PEDIDO,CLAVE SAP,TIPO DE PRODUCTO,MEDIDA DE LA BOLSA,TRATADO,ANCHO DE PELICULA,N° DE ROLLO,CALIBRE PEDIDO,CALIBRE REAL,MOTIVO DEL CORTE,HORA INICIO,HORA FINAL,KILOS/HORA,PRODUCTO CONFORME,% DE PRODUCTO CONFORME,RECUP.,% DE RECUP,BASURA,% DE BASURA,CONSUMO MP,% MATERIA PRIMA,REC.AREA ROLLO,REC.AREA SELLADO,RECUPERADO DEVOLUCION ROLLO,HORAS DE TRABAJO,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,5,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,7,28.00,29.26,CORTE NORMAL,04:35 PM,08:30 PM,25.53,100,100.00%,0,0.00%,0,0.00%,100,100.00%,,,,3.92,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,10,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,3,28.00,27.3,INESTABILIDAD,01:40 PM,02:35 PM,25.09,23,68.66%,10.5,31.34%,0,0.00%,33.5,100.00%,,,,0.92,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,10,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,5,28.00,27.1,CORTE NORMAL,03:08 PM,06:28 PM,21.30,71,100.00%,0,0.00%,0,0.00%,71,100.00%,,,,3.33,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,10,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,6,28.00,27.6,INESTABILIDAD,06:28 PM,07:55 PM,22.07,32,84.21%,6,15.79%,0,0.00%,38,100.00%,,,,1.45,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,11,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,15X27,N/A,30.0 CM,4,27.00,27.3,INESTABILIDAD,12:28 PM,02:15 PM,20.19,36,90.00%,4,10.00%,0,0.00%,40,100.00%,,,,1.78,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,11,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,15X27,N/A,30.0 CM,5,27.00,27.65,BAJADA DE GLOBO,03:05 PM,06:30 PM,20.20,69,100.00%,0,0.00%,0,0.00%,69,100.00%,,,,3.42,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,11,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,15X27,N/A,30.0 CM,6,27.00,28.14,INESTABILIDAD,06:40 PM,08:30 PM,20.73,38,92.68%,3,7.32%,0,0.00%,41,100.00%,,,,1.83,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,13,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,20X30,N/A,40.0 CM,1,28.00,25.1,BAJADA DE GLOBO,04:40 PM,05:20 PM,18.00,12,73.17%,4.4,26.83%,0,0.00%,16.4,100.00%,,,,0.67,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,13,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,20X30,N/A,40.0 CM,2,28.00,26.8,CORTE NORMAL,05:20 PM,08:38 PM,14.55,48,100.00%,0,0.00%,0,0.00%,48,100.00%,,,,3.30,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,10,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,8,28.00,28.15,INESTABILIDAD,08:15 PM,09:40 PM,21.88,31,100.00%,0,0.00%,0,0.00%,31,100.00%,,,,1.42,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,5,MARCIAL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,9,28.00,28.83,BAJADA DE GLOBO,08:30 PM,11:45 PM,23.38,76,100.00%,0,0.00%,0,0.00%,76,100.00%,,,,3.25,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,11,MARCIAL,SAP-020119,MONTERREY,,ROLLO,15X27,N/A,30.0 CM,7,27.00,26.25,INESTABILIDAD,09:18 PM,10:25 PM,22.39,25,94.34%,1.5,5.66%,0,0.00%,26.5,100.00%,,,,1.12,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,10,MARCIAL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,10,28.00,25.89,CORTE NORMAL,09:40 PM,02:07 AM,21.35,95,100.00%,0,0.00%,0,0.00%,95,100.00%,,,,4.45,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,11,MARCIAL,SAP-020119,MONTERREY,,ROLLO,15X27,N/A,30.0 CM,8,27.00,27.72,CORTE NORMAL,10:25 PM,02:15 AM,20.87,80,100.00%,0,0.00%,0,0.00%,80,100.00%,,,,3.83,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,5,MARCIAL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,11,28.00,29.07,CORTE NORMAL,11:45 PM,03:25 AM,25.09,92,100.00%,0,0.00%,0,0.00%,92,100.00%,,,,3.67,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,5,MARCIAL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,13,28.00,27.86,CORTE NORMAL,03:25 AM,04:55 AM,24.67,37,100.00%,0,0.00%,0,0.00%,37,100.00%,,,,1.50,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,10,MARCIAL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,12,28.00,26.61,CORTE NORMAL,02:07 AM,04:45 AM,22.03,58,100.00%,0,0.00%,0,0.00%,58,100.00%,,,,2.63,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,11,MARCIAL,SAP-020119,MONTERREY,,ROLLO,15X27,N/A,30.0 CM,9,27.00,29.56,CORTE NORMAL,02:15 AM,04:42 AM,20.82,51,100.00%,0,0.00%,0,0.00%,51,100.00%,,,,2.45,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,13,MARCIAL,SAP-020119,MONTERREY,,ROLLO,20X30,N/A,40.0 CM,3,28.00,28.66,CORTE NORMAL,08:38 PM,03:17 AM,15.49,103,100.00%,0,0.00%,0,0.00%,103,100.00%,,,,6.65,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,13,MARCIAL,SAP-020119,MONTERREY,,ROLLO,20X30,N/A,40.0 CM,4,28.00,27.54,LIMPIEZA DE BOQUILLA,03:35 AM,05:03 AM,17.05,25,87.11%,3.5,12.20%,0.2,0.80%,28.7,100.10%,,,,1.47,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",1,8,ARMANDO A.,SAP-1604,SAN PIERO,,HIELO,30X60,1 CARA,60.0 CM,0,195.30,0,ARRANQUE,08:35 AM,09:00 AM,0.00,0,0.00%,6.5,92.86%,0.5,#DIV/0!,7,#DIV/0!,,,,0.42,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",1,8,ARMANDO A.,SAP-1604,SAN PIERO,,HIELO,30X60,1 CARA,60.0 CM,1,195.30,198.1,CORTE NORMAL,09:00 AM,12:48 PM,52.11,198,100.00%,0,0.00%,0,0.00%,198,100.00%,,,,3.80,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,8,J.MANUEL,SAP-1604,SAN PIERO,,HIELO,30X60,1 CARA,60.0 CM,2,195.30,196.8,CORTE NORMAL,12:48 PM,03:38 PM,48.35,137,100.00%,0,0.00%,0,0.00%,137,100.00%,,,,2.83,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,8,J.MANUEL,SAP-1606,YELITOS,,HIELO,30X60,1 CARA,60.0 CM,1,214.00,208.3,CORTE NORMAL,03:38 PM,06:54 PM,48.98,160,100.00%,0,0.00%,0,0.00%,160,100.00%,,,,3.27,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,8,J.MANUEL,SAP-1606,YELITOS,,HIELO,30X60,1 CARA,60.0 CM,2,214.00,209.2,CAMBIO DE MEDIDA,06:54 PM,08:20 PM,44.65,64,93.43%,4.5,6.57%,0,0.00%,68.5,100.00%,,,,1.43,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,8,MARCIAL,SAP-1607,VITAL HUATULCO,,HIELO,28X57,1 CARA,57.0 CM,1,167.40,172.11,CORTE NORMAL,08:20 PM,10:30 PM,48.92,106,100.00%,0,0.00%,0,0.00%,106,100.00%,,,,2.17,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,8,MARCIAL,SAP-1607,VITAL HUATULCO,,HIELO,28X57,1 CARA,57.0 CM,2,167.40,177.14,CORTE NORMAL,10:30 PM,01:30 AM,47.67,143,100.00%,0,0.00%,0,0.00%,143,100.00%,,,,3.00,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,8,MARCIAL,SAP-1607,VITAL HUATULCO,,HIELO,28X57,1 CARA,57.0 CM,3,167.40,172.28,CORTE NORMAL,01:30 AM,04:30 AM,48.00,144,100.00%,0,0.00%,0,0.00%,144,100.00%,,,,3.00,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",1,7,ARMANDO A.,SAP-1615,LA BELLEZA,,CAMISETA AD,25+12X51,1 CARA,37.0 CM,0,88.00,0,ARRANQUE,10:00 AM,10:50 AM,0.00,0,0.00%,5.5,91.67%,0.5,#DIV/0!,6,#DIV/0!,,,,0.83,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",1,7,ARMANDO A.,SAP-1615,LA BELLEZA,,CAMISETA AD,25+12X51,1 CARA,37.0 CM,1,88.00,89.2,CORTE NORMAL,10:50 AM,11:25 AM,22.29,13,100.00%,0,0.00%,0,0.00%,13,100.00%,,,,0.58,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",1,7,ARMANDO A.,SAP-1615,LA BELLEZA,,CAMISETA AD,25+12X51,1 CARA,37.0 CM,2,88.00,81.2,CORTE NORMAL,11:25 AM,12:52 PM,24.83,36,100.00%,0,0.00%,0,0.00%,36,100.00%,,,,1.45,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,7,J.MANUEL,SAP-1615,LA BELLEZA,,CAMISETA AD,25+12X51,1 CARA,37.0 CM,3,88.00,83.83,CORTE NORMAL,12:52 PM,03:07 PM,24.89,56,100.00%,0,0.00%,0,0.00%,56,100.00%,,,,2.25,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,7,J.MANUEL,SAP-1615,LA BELLEZA,,CAMISETA AD,25+12X51,1 CARA,37.0 CM,4,88.00,84.25,CORTE NORMAL,03:07 PM,06:05 PM,24.94,74,96.10%,3,3.90%,0,0.00%,77,100.00%,,,,2.97,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",1,7,J.MANUEL,SAP-1615,LA BELLEZA,,CAMISETA AD,25+12X51,1 CARA,37.0 CM,5,88.00,82.75,CAMBIO DE MEDIDA,06:05 PM,08:40 PM,24.39,63,92.65%,5,7.35%,0,0.00%,68,100.00%,,,,2.58,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,7,MARCIAL,SAP-1615A,LA BELLEZA,,CAMISETA AD,30+18X60,1 CARA,48.0 CM,1,88.00,81.75,BAJADA DE GLOBO,08:58 PM,11:00 PM,25.57,52,96.30%,2,3.70%,0,0.00%,54,100.00%,,,,2.03,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,7,MARCIAL,SAP-1615A,LA BELLEZA,,CAMISETA AD,30+18X60,1 CARA,48.0 CM,2,88.00,90.41,BAJADA DE GLOBO,11:00 PM,11:45 PM,16.00,12,77.42%,3.5,22.58%,0,0.00%,15.5,100.00%,,,,0.75,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,7,MARCIAL,SAP-1615A,LA BELLEZA,,CAMISETA AD,30+18X60,1 CARA,48.0 CM,3,88.00,87.15,CORTE NORMAL,11:45 PM,02:32 AM,25.51,71,100.00%,0,0.00%,0,0.00%,71,100.00%,,,,2.78,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,4,MARCIAL,SAP-1620,RUBY,,CAMISETA AD,25+13X50,1 CARA,76.0 CM,1,65.00,66.13,CAMBIO DE MEDIDA,03:00 AM,04:30 AM,53.33,80,90.91%,7.5,8.52%,0.5,0.63%,88,100.06%,,,,1.50,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,7,MARCIAL,SAP-1615A,LA BELLEZA,,CAMISETA AD,30+18X60,1 CARA,48.0 CM,4,88.00,83.25,LIMPIEZA DE BOQUILLA,02:50 AM,04:48 AM,25.42,50,97.09%,1,1.94%,0.5,1.00%,51.5,100.03%,,,,1.97,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,4,J.MANUEL,SAP-1628,CARPIN,,BOBINA AD,N/A,N/A,110.0 CM,0,137.50,0,ARRANQUE,06:00 PM,06:20 PM,0.00,0,0.00%,9.5,100.00%,0,#DIV/0!,9.5,#DIV/0!,,,,0.33,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,4,J.MANUEL,SAP-1628,CARPIN,,BOBINA AD,N/A,N/A,110.0 CM,1,137.50,123.5,CORTE NORMAL,06:20 PM,07:30 PM,54.00,63,100.00%,0,0.00%,0,0.00%,63,100.00%,,,,1.17,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",2,4,J.MANUEL,SAP-1628,CARPIN,,BOBINA AD,N/A,N/A,110.0 CM,2,137.50,127.28,CORTE NORMAL,07:30 PM,08:50 PM,52.50,70,100.00%,0,0.00%,0,0.00%,70,100.00%,,,,1.33,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,4,MARCIAL,SAP-1628,CARPIN,,BOBINA AD,N/A,N/A,110.0 CM,3,137.50,118.22,CORTE NORMAL,08:50 PM,10:10 PM,51.00,68,100.00%,0,0.00%,0,0.00%,68,100.00%,,,,1.33,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,4,MARCIAL,SAP-1628,CARPIN,,BOBINA AD,N/A,N/A,110.0 CM,4,137.50,128.2,CORTE NORMAL,10:10 PM,11:28 PM,50.77,66,100.00%,0,0.00%,0,0.00%,66,100.00%,,,,1.30,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,4,MARCIAL,SAP-1628,CARPIN,,BOBINA AD,N/A,N/A,110.0 CM,5,137.50,127.65,CORTE NORMAL,11:28 PM,12:29 AM,56.07,57,100.00%,0,0.00%,0,0.00%,57,100.00%,,,,1.02,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,4,MARCIAL,SAP-1628,CARPIN,,BOBINA AD,N/A,N/A,110.0 CM,6,137.50,130.28,CORTE NORMAL,12:29 AM,01:33 AM,55.31,59,100.00%,0,0.00%,0,0.00%,59,100.00%,,,,1.07,,,,,,,,,,,,,,,,,,
1,"miércoles, 2 de enero de 2019",3,4,MARCIAL,SAP-1628,CARPIN,,BOBINA AD,N/A,N/A,110.0 CM,7,137.50,132.12,CORTE NORMAL,01:33 AM,02:40 AM,51.04,57,100.00%,0,0.00%,0,0.00%,57,100.00%,,,,1.12,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",1,5,ARMANDO A.,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,14,28.00,30,BAJADA DE GLOBO,04:55 AM,07:05 AM,24.00,52,98.11%,1,1.89%,0,0.00%,53,100.00%,,,,2.17,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",1,5,ARMANDO A.,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,16,28.00,28.5,CORTE NORMAL,07:05 AM,12:35 PM,24.91,137,100.00%,0,0.00%,0,0.00%,137,100.00%,,,,5.50,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",1,7,ARMANDO A.,SAP-1629,POLLO FELIZ,,ROLLO,20X30,1 CARA,40.0 CM,1,36.00,39.77,CAMBIO DE MEDIDA,07:35 AM,10:50 AM,20.92,68,90.67%,7,9.33%,0,0.00%,75,100.00%,,,,3.25,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",1,7,ARMANDO A.,SAP-1629,POLLO FELIZ,,ROLLO,20X30,1 CARA,40.0 CM,0,36.00,,PARO DE MAQUINA,10:50 AM,10:50 AM,#DIV/0!,0,0.00%,2,100.00%,0,#DIV/0!,2,#DIV/0!,,,,0.00,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",1,10,ARMANDO A.,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,15,28.00,29.1,CORTE NORMAL,04:45 AM,12:20 PM,22.29,169,100.00%,0,0.00%,0,0.00%,169,100.00%,,,,7.58,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",1,11,ARMANDO A.,SAP-020119,MONTERREY,,ROLLO,15X27,N/A,30.0 CM,10,27.00,27.8,BAJADA DE GLOBO,05:03 AM,08:05 AM,22.75,69,99.00%,0.7,1.00%,0,0.00%,69.7,100.00%,,,,3.03,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",1,11,ARMANDO A.,SAP-020119,MONTERREY,,ROLLO,15X27,N/A,30.0 CM,11,27.00,27.1,CORTE NORMAL,08:05 AM,12:19 PM,20.31,86,100.00%,0,0.00%,0,0.00%,86,100.00%,,,,4.23,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",1,13,ARMANDO A.,SAP-020119,MONTERREY,,ROLLO,20X30,N/A,40.0 CM,5,28.00,29.8,BAJADA DE GLOBO,04:42 AM,08:05 AM,15.96,54,97.65%,1.3,2.35%,0,0.00%,55.3,100.00%,,,,3.38,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",1,13,ARMANDO A.,SAP-020119,MONTERREY,,ROLLO,20X30,N/A,40.0 CM,6,28.00,32.6,CORTE NORMAL,08:05 AM,01:00 PM,16.68,82,100.00%,0,0.00%,0,0.00%,82,100.00%,,,,4.92,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",2,5,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,17,28.00,30.6,CORTE NORMAL,12:35 PM,04:15 PM,24.91,87,100.00%,3.7,0.00%,0,0.00%,137,100.00%,,,,5.50,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",2,5,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,19,28.00,29.12,CORTE NORMAL,04:15 PM,08:15 PM,24.91,103,100.00%,0,0.00%,0,0.00%,137,100.00%,,,,5.50,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",2,7,J.MANUEL,SAP-1629,POLLO FELIZ,,ROLLO,20X30,1 CARA,40.0 CM,2,36.00,37.5,BAJADA DE GLOBO,02:35 PM,03:55 PM,24.91,29,0.00%,1,100.00%,0,#DIV/0!,2,#DIV/0!,,,,0.00,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",2,7,J.MANUEL,SAP-1629,POLLO FELIZ,,ROLLO,20X30,1 CARA,40.0 CM,3,36.00,40.7,CORTE NORMAL,04:07 AM,06:52 PM,24.91,61,0.00%,0,100.00%,0,#DIV/0!,2,#DIV/0!,,,,0.00,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",2,7,J.MANUEL,SAP-1629,POLLO FELIZ,,ROLLO,20X30,1 CARA,40.0 CM,4,36.00,40.2,CORTE NORMAL,06:52 PM,08:55 PM,24.91,45,0.00%,0,100.00%,0,#DIV/0!,2,#DIV/0!,,,,0.00,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",2,10,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,18,28.00,29.5,CORTE NORMAL,12:20 PM,08:05 PM,22.29,176,100.00%,0,0.00%,0,0.00%,169,100.00%,,,,7.58,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",2,11,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,15X27,N/A,30.0 CM,12,27.00,30.35,CORTE NORMAL,12:19 PM,05:40 PM,20.31,111,100.00%,0,0.00%,0,0.00%,86,100.00%,,,,4.23,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",2,11,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,15X27,N/A,30.0 CM,13,27.00,29.8,CORTE NORMAL,05:40 PM,08:30 PM,20.31,58,100.00%,0,0.00%,0,0.00%,86,100.00%,,,,4.23,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",2,13,J.MANUEL,SAP-020119,MONTERREY,,ROLLO,20X30,N/A,40.0 CM,7,28.00,27.29,CORTE NORMAL,01:00 PM,08:08 PM,17.38,124,100.00%,0,0.00%,0,0.00%,124,100.00%,,,,7.13,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",3,7,MARCIAL,SAP-1629,POLLO FELIZ,,ROLLO,20X30,1 CARA,40.0 CM,5,36.00,40.1,CORTE NORMAL,08:55 PM,10:30 PM,22.11,35,100.00%,0,0.00%,0,0.00%,35,100.00%,,,,1.58,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",3,7,MARCIAL,SAP-1629,POLLO FELIZ,,ROLLO,20X30,1 CARA,40.0 CM,6,36.00,38.21,LIMPIEZA DE BOQUILLA,10:42 PM,11:48 PM,19.09,21,89.36%,2,8.51%,0.5,2.38%,23.5,100.25%,,,,1.10,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",3,7,MARCIAL,SAP-1629,POLLO FELIZ,,ROLLO,20X30,1 CARA,40.0 CM,7,36.00,37.64,CORTE NORMAL,11:48 PM,12:50 AM,19.35,20,100.00%,0,0.00%,0,0.00%,20,100.00%,,,,1.03,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",3,5,MARCIAL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,21,28.00,29.33,CORTE NORMAL,08:15 PM,11:05 PM,24.71,70,100.00%,0,0.00%,0,0.00%,70,100.00%,,,,2.83,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",3,10,MARCIAL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,20,28.00,30.36,CORTE NORMAL,08:05 PM,10:30 PM,22.34,54,100.00%,0,0.00%,0,0.00%,54,100.00%,,,,2.42,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",3,10,MARCIAL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,22,28.00,28.78,LIMPIEZA DE BOQUILLA,10:40 PM,11:38 PM,17.59,17,90.43%,1.5,7.98%,0.3,1.76%,18.8,100.17%,,,,0.97,,,,,,,,,,,,,,,,,,
1,"jueves, 3 de enero de 2019",3,5,MARCIAL,SAP-020119,MONTERREY,,ROLLO,25X35,N/A,50.0 CM,23,28.00,28.6,CORTE NORMAL,11:05 PM,02:20 AM,24.62,80,100.00%,0,0.00%,0,0.00%,80,100.00%,,,,3.25,,,,,,,,,,,,,,,,,,
